IndexingSet,Generators
"{1, 2, 3, 4, 5, 6}","ideal(2*x_4*x_6*y_1*y_3*y_5-3*x_3*x_6*y_1*y_4*y_5-5*x_1*x_6*y_3*y_4*y_5-x_4*x_5*y_1*y_3*y_6+2*x_3*x_5*y_1*y_4*y_6+4*x_1*x_5*y_3*y_4*y_6-x_3*x_4*y_1*y_5*y_6+3*x_1*x_4*y_3*y_5*y_6-4*x_1*x_3*y_4*y_5*y_6,x_5*x_6*y_2*y_3*y_4-3*x_3*x_6*y_2*y_4*y_5-4*x_2*x_6*y_3*y_4*y_5+x_4*x_5*y_2*y_3*y_6-2*x_3*x_5*y_2*y_4*y_6+3*x_2*x_5*y_3*y_4*y_6+x_3*x_4*y_2*y_5*y_6+2*x_2*x_4*y_3*y_5*y_6-2*x_2*x_3*y_4*y_5*y_6,x_5*x_6*y_1*y_2*y_4-2*x_4*x_6*y_1*y_2*y_5-4*x_2*x_6*y_1*y_4*y_5+5*x_1*x_6*y_2*y_4*y_5+3*x_2*x_5*y_1*y_4*y_6+4*x_1*x_5*y_2*y_4*y_6-2*x_2*x_4*y_1*y_5*y_6-3*x_1*x_4*y_2*y_5*y_6-2*x_1*x_2*y_4*y_5*y_6,x_5*x_6*y_1*y_2*y_3-3*x_3*x_6*y_1*y_2*y_5-4*x_2*x_6*y_1*y_3*y_5+3*x_2*x_5*y_1*y_3*y_6+4*x_1*x_5*y_2*y_3*y_6-x_2*x_3*y_1*y_5*y_6-2*x_1*x_3*y_2*y_5*y_6-x_1*x_2*y_3*y_5*y_6,2*x_4*x_6*y_1*y_2*y_3-3*x_3*x_6*y_1*y_2*y_4-5*x_1*x_6*y_2*y_3*y_4+2*x_2*x_4*y_1*y_3*y_6+3*x_1*x_4*y_2*y_3*y_6-x_2*x_3*y_1*y_4*y_6-2*x_1*x_3*y_2*y_4*y_6+x_1*x_2*y_3*y_4*y_6,x_4*x_5*y_1*y_2*y_3-2*x_3*x_5*y_1*y_2*y_4-4*x_1*x_5*y_2*y_3*y_4+x_3*x_4*y_1*y_2*y_5+2*x_2*x_4*y_1*y_3*y_5-x_2*x_3*y_1*y_4*y_5+2*x_1*x_3*y_2*y_4*y_5+x_1*x_2*y_3*y_4*y_5)"
"{1, 2, 3, 4, 5}","ideal(y_6,2*x_4*y_1*y_3*y_5-3*x_3*y_1*y_4*y_5-5*x_1*y_3*y_4*y_5,x_5*y_2*y_3*y_4-3*x_3*y_2*y_4*y_5-4*x_2*y_3*y_4*y_5,x_5*y_1*y_2*y_4-2*x_4*y_1*y_2*y_5-4*x_2*y_1*y_4*y_5+5*x_1*y_2*y_4*y_5,x_5*y_1*y_2*y_3-3*x_3*y_1*y_2*y_5-4*x_2*y_1*y_3*y_5,2*x_4*y_1*y_2*y_3-3*x_3*y_1*y_2*y_4-5*x_1*y_2*y_3*y_4)"
"{1, 2, 3, 4, 6}","ideal(y_5,x_4*y_1*y_3*y_6-2*x_3*y_1*y_4*y_6-4*x_1*y_3*y_4*y_6,x_6*y_2*y_3*y_4+x_4*y_2*y_3*y_6-2*x_3*y_2*y_4*y_6+3*x_2*y_3*y_4*y_6,x_6*y_1*y_2*y_4+3*x_2*y_1*y_4*y_6+4*x_1*y_2*y_4*y_6,x_6*y_1*y_2*y_3+3*x_2*y_1*y_3*y_6+4*x_1*y_2*y_3*y_6,x_4*y_1*y_2*y_3-2*x_3*y_1*y_2*y_4-4*x_1*y_2*y_3*y_4)"
"{1, 2, 3, 5, 6}","ideal(y_4,x_5*y_2*y_3*y_6+x_3*y_2*y_5*y_6+2*x_2*y_3*y_5*y_6,2*x_6*y_1*y_3*y_5-x_5*y_1*y_3*y_6-x_3*y_1*y_5*y_6+3*x_1*y_3*y_5*y_6,2*x_6*y_1*y_2*y_5+2*x_2*y_1*y_5*y_6+3*x_1*y_2*y_5*y_6,2*x_6*y_1*y_2*y_3+2*x_2*y_1*y_3*y_6+3*x_1*y_2*y_3*y_6,x_5*y_1*y_2*y_3+x_3*y_1*y_2*y_5+2*x_2*y_1*y_3*y_5)"
"{1, 2, 4, 5, 6}","ideal(y_3,3*x_6*y_2*y_4*y_5+2*x_5*y_2*y_4*y_6-x_4*y_2*y_5*y_6+2*x_2*y_4*y_5*y_6,3*x_6*y_1*y_4*y_5-2*x_5*y_1*y_4*y_6+x_4*y_1*y_5*y_6+4*x_1*y_4*y_5*y_6,3*x_6*y_1*y_2*y_5+x_2*y_1*y_5*y_6+2*x_1*y_2*y_5*y_6,3*x_6*y_1*y_2*y_4+x_2*y_1*y_4*y_6+2*x_1*y_2*y_4*y_6,2*x_5*y_1*y_2*y_4-x_4*y_1*y_2*y_5+x_2*y_1*y_4*y_5-2*x_1*y_2*y_4*y_5)"
"{1, 2, 6}","ideal(y_5,y_4,y_3)"
"{1, 2}","ideal(y_6,y_5,y_4,y_3)"
"{1, 3, 4, 5, 6}","ideal(y_2,2*x_4*y_1*y_3*y_6-x_3*y_1*y_4*y_6+x_1*y_3*y_4*y_6,4*x_6*y_3*y_4*y_5-3*x_5*y_3*y_4*y_6-2*x_4*y_3*y_5*y_6+2*x_3*y_4*y_5*y_6,4*x_6*y_1*y_4*y_5-3*x_5*y_1*y_4*y_6+2*x_4*y_1*y_5*y_6+2*x_1*y_4*y_5*y_6,4*x_6*y_1*y_3*y_5-3*x_5*y_1*y_3*y_6+x_3*y_1*y_5*y_6+x_1*y_3*y_5*y_6,2*x_4*y_1*y_3*y_5-x_3*y_1*y_4*y_5+x_1*y_3*y_4*y_5)"
"{1, 3, 4}","ideal(y_6,y_5,y_2)"
"{1, 3}","ideal(y_6,y_5,y_4,y_2)"
"{1, 4}","ideal(y_6,y_5,y_3,y_2)"
"{1, 5}","ideal(y_6,y_4,y_3,y_2)"
"{1, 6}","ideal(y_5,y_4,y_3,y_2)"
"{1}","ideal(y_6,y_5,y_4,y_3,y_2)"
"{2, 3, 4, 5, 6}","ideal(y_1,4*x_5*y_2*y_3*y_6-2*x_3*y_2*y_5*y_6-x_2*y_3*y_5*y_6,5*x_6*y_3*y_4*y_5-4*x_5*y_3*y_4*y_6-3*x_4*y_3*y_5*y_6+4*x_3*y_4*y_5*y_6,5*x_6*y_2*y_4*y_5+4*x_5*y_2*y_4*y_6-3*x_4*y_2*y_5*y_6-2*x_2*y_4*y_5*y_6,5*x_6*y_2*y_3*y_4-3*x_4*y_2*y_3*y_6+2*x_3*y_2*y_4*y_6-x_2*y_3*y_4*y_6,4*x_5*y_2*y_3*y_4-2*x_3*y_2*y_4*y_5-x_2*y_3*y_4*y_5)"
"{2, 3, 5}","ideal(y_6,y_4,y_1)"
"{2, 3}","ideal(y_6,y_5,y_4,y_1)"
"{2, 4}","ideal(y_6,y_5,y_3,y_1)"
"{2, 5}","ideal(y_6,y_4,y_3,y_1)"
"{2, 6}","ideal(y_5,y_4,y_3,y_1)"
"{2}","ideal(y_6,y_5,y_4,y_3,y_1)"
"{3, 4}","ideal(y_6,y_5,y_2,y_1)"
"{3, 5}","ideal(y_6,y_4,y_2,y_1)"
"{3, 6}","ideal(y_5,y_4,y_2,y_1)"
"{3}","ideal(y_6,y_5,y_4,y_2,y_1)"
"{4, 5}","ideal(y_6,y_3,y_2,y_1)"
"{4, 6}","ideal(y_5,y_3,y_2,y_1)"
"{4}","ideal(y_6,y_5,y_3,y_2,y_1)"
"{5, 6}","ideal(y_4,y_3,y_2,y_1)"
"{5}","ideal(y_6,y_4,y_3,y_2,y_1)"
"{6}","ideal(y_5,y_4,y_3,y_2,y_1)"
"{}","ideal(y_6,y_5,y_4,y_3,y_2,y_1)"
